complaint_id,village_id,village_name,district,state,description,category,severity,status,created_at,resolved_at
V040-C04,V040,Vijaypur,Meerut,Uttar Pradesh,A water pipeline is leaking near the residential area.,Water,Medium,Resolved,2026-08-20,2026-08-29
V040-C05,V040,Vijaypur,Meerut,Uttar Pradesh,Residents are getting muddy water from the public tap.,Water,High,Resolved,2026-08-23,2026-08-31
V041-C01,V041,Saraswati Nagar,Meerut,Uttar Pradesh,Several street lights near the main road are not working.,Electricity,Medium,Pending,2026-09-07,
V041-C02,V041,Saraswati Nagar,Meerut,Uttar Pradesh,A village lane has broken drainage and standing water.,Road,Medium,In Progress,2026-08-04,
V041-C03,V041,Saraswati Nagar,Meerut,Uttar Pradesh,Drinking water supply has been irregular for the last 10 days.,Water,High,Pending,2026-09-02,
V041-C04,V041,Saraswati Nagar,Meerut,Uttar Pradesh,Students do not have enough desks and benches.,School,Medium,Resolved,2026-08-15,2026-08-24
V041-C05,V041,Saraswati Nagar,Meerut,Uttar Pradesh,A water pipeline is leaking near the residential area.,Water,Medium,Pending,2026-09-02,
V042-C01,V042,Deviganj,Meerut,Uttar Pradesh,Farmers report insufficient irrigation water for the current crop.,Agriculture,High,Resolved,2026-08-24,2026-08-28
V042-C02,V042,Deviganj,Meerut,Uttar Pradesh,The community waste bin is overflowing and not cleared on time.,Waste Management,High,Pending,2026-08-25,
V042-C03,V042,Deviganj,Meerut,Uttar Pradesh,The main village road has large potholes and becomes difficult to use after rain.,Road,High,Pending,2026-08-16,
V042-C04,V042,Deviganj,Meerut,Uttar Pradesh,Residents are getting muddy water from the public tap.,Water,High,Pending,2026-08-26,
V042-C05,V042,Deviganj,Meerut,Uttar Pradesh,The road connecting the village to the nearest market is badly damaged.,Road,High,Pending,2026-09-02,
V043-C01,V043,Keshavpur,Meerut,Uttar Pradesh,A water pipeline is leaking near the residential area.,Water,Medium,Resolved,2026-09-03,2026-09-05
V043-C02,V043,Keshavpur,Meerut,Uttar Pradesh,Residents are getting muddy water from the public tap.,Water,High,Pending,2026-08-21,
V043-C03,V043,Keshavpur,Meerut,Uttar Pradesh,Drinking water supply has been irregular for the last 3 days.,Water,High,In Progress,2026-08-05,
V043-C04,V043,Keshavpur,Meerut,Uttar Pradesh,The hand pump near the primary school is not working.,Water,High,Pending,2026-08-27,
V043-C05,V043,Keshavpur,Meerut,Uttar Pradesh,Drinking water supply has been irregular for the last 4 days.,Water,High,Resolved,2026-09-05,2026-09-11
V044-C01,V044,Raghunathpur,Meerut,Uttar Pradesh,The primary school has a shortage of functional toilets.,School,High,In Progress,2026-08-28,
V044-C02,V044,Raghunathpur,Meerut,Uttar Pradesh,The hand pump near the primary school is not working.,Water,High,In Progress,2026-08-02,
V044-C03,V044,Raghunathpur,Meerut,Uttar Pradesh,The village transformer is frequently failing.,Electricity,High,Pending,2026-08-29,
V044-C04,V044,Raghunathpur,Meerut,Uttar Pradesh,Residents are getting muddy water from the public tap.,Water,High,In Progress,2026-08-23,
V044-C05,V044,Raghunathpur,Meerut,Uttar Pradesh,The main village road has large potholes and becomes difficult to use after rain.,Road,High,Pending,2026-08-12,
V045-C01,V045,Adarshpur,Meerut,Uttar Pradesh,The hand pump near the primary school is not working.,Water,High,In Progress,2026-08-10,
V045-C02,V045,Adarshpur,Meerut,Uttar Pradesh,Basic diagnostic equipment is unavailable at the health facility.,Healthcare,High,In Progress,2026-08-28,
V045-C03,V045,Adarshpur,Meerut,Uttar Pradesh,The road connecting the village to the nearest market is badly damaged.,Road,High,Pending,2026-08-05,
V045-C04,V045,Adarshpur,Meerut,Uttar Pradesh,The main village road has large potholes and becomes difficult to use after rain.,Road,High,Pending,2026-08-17,
V045-C05,V045,Adarshpur,Meerut,Uttar Pradesh,Low voltage is affecting household electrical appliances.,Electricity,Medium,Pending,2026-08-20,
V046-C01,V046,Mangalpur,Meerut,Uttar Pradesh,Open dumping near the village pond is causing hygiene concerns.,Waste Management,High,Pending,2026-08-30,
V046-C02,V046,Mangalpur,Meerut,Uttar Pradesh,The road to the primary school is uneven and unsafe for children.,Road,High,Pending,2026-09-07,
V046-C03,V046,Mangalpur,Meerut,Uttar Pradesh,The road to the primary school is uneven and unsafe for children.,Road,High,Resolved,2026-08-20,2026-08-25
V046-C04,V046,Mangalpur,Meerut,Uttar Pradesh,Frequent power cuts are affecting households every evening.,Electricity,High,Pending,2026-08-16,
V046-C05,V046,Mangalpur,Meerut,Uttar Pradesh,The road connecting the village to the nearest market is badly damaged.,Road,High,Pending,2026-09-08,
V047-C01,V047,Vishnupur,Meerut,Uttar Pradesh,The village transformer is frequently failing.,Electricity,High,In Progress,2026-08-30,
V047-C02,V047,Vishnupur,Meerut,Uttar Pradesh,The open drain near houses is blocked and stagnant water is accumulating.,Sanitation,High,In Progress,2026-08-28,
V047-C03,V047,Vishnupur,Meerut,Uttar Pradesh,The school drinking-water facility is not functioning properly.,School,High,In Progress,2026-08-21,
V047-C04,V047,Vishnupur,Meerut,Uttar Pradesh,Basic diagnostic equipment is unavailable at the health facility.,Healthcare,High,Pending,2026-08-23,
V047-C05,V047,Vishnupur,Meerut,Uttar Pradesh,The road to the primary school is uneven and unsafe for children.,Road,High,Pending,2026-08-31,
V048-C01,V048,Shyampur,Meerut,Uttar Pradesh,The internal road near the health centre needs repair.,Road,Medium,In Progress,2026-08-08,
V048-C02,V048,Shyampur,Meerut,Uttar Pradesh,Residents are getting muddy water from the public tap.,Water,High,Pending,2026-08-25,
V048-C03,V048,Shyampur,Meerut,Uttar Pradesh,The village water tank is not supplying water to several households.,Water,High,Pending,2026-08-14,
V048-C04,V048,Shyampur,Meerut,Uttar Pradesh,The village health centre often has no essential medicines.,Healthcare,High,Pending,2026-08-12,
V048-C05,V048,Shyampur,Meerut,Uttar Pradesh,The road to the primary school is uneven and unsafe for children.,Road,High,Pending,2026-09-04,
V049-C01,V049,Sanjaypur,Meerut,Uttar Pradesh,The health centre has inadequate waiting facilities.,Healthcare,Medium,In Progress,2026-08-08,
V049-C02,V049,Sanjaypur,Meerut,Uttar Pradesh,The main village road has large potholes and becomes difficult to use after rain.,Road,High,Resolved,2026-08-05,2026-08-12
V049-C03,V049,Sanjaypur,Meerut,Uttar Pradesh,The primary school has a shortage of functional toilets.,School,High,Resolved,2026-08-29,2026-09-07
V049-C04,V049,Sanjaypur,Meerut,Uttar Pradesh,Drinking water supply has been irregular for the last 5 days.,Water,High,Resolved,2026-08-27,2026-09-05
V049-C05,V049,Sanjaypur,Meerut,Uttar Pradesh,Residents are getting muddy water from the public tap.,Water,High,Pending,2026-08-04,
V050-C01,V050,Govardhanpur,Meerut,Uttar Pradesh,Drinking water supply has been irregular for the last 3 days.,Water,High,Resolved,2026-08-30,2026-09-06
V050-C02,V050,Govardhanpur,Meerut,Uttar Pradesh,The school drinking-water facility is not functioning properly.,School,High,In Progress,2026-08-10,
V050-C03,V050,Govardhanpur,Meerut,Uttar Pradesh,Farmers report insufficient irrigation water for the current crop.,Agriculture,High,Pending,2026-08-09,
V050-C04,V050,Govardhanpur,Meerut,Uttar Pradesh,The village water tank is not supplying water to several households.,Water,High,In Progress,2026-09-03,
V050-C05,V050,Govardhanpur,Meerut,Uttar Pradesh,The road connecting the village to the nearest market is badly damaged.,Road,High,In Progress,2026-08-11,
